,null_deg,60_deg,90_deg,180_deg,240_deg,labels
0,0.10101028272075266,0.07935790872654705,0.5332304208756551,0.5295089179043634,0.31485174486005774,R
1,0.9555988885153275,0.48870849590788223,0.6067521257054886,0.5140937950412768,0.5674077136148958,M
2,0.07053735109019349,0.32465059019648046,0.4801497706888297,0.10646353351859962,0.32795351874243406,R
3,0.45956230972213935,0.5238691899122537,0.057656941805869125,0.08605776599016153,0.12090370594458842,R
4,0.3487666026141569,0.22576141209482753,0.12423142459067642,0.11752432689502461,0.284572501889912,R
5,0.5853453669722567,0.6120637876779625,0.5293001933402112,0.6398319840538362,0.966138008469497,M
6,0.5280418593205829,0.9234880916282091,0.8065534913637696,0.8306983807902264,0.48433453872216153,M
7,0.5377745240918772,0.06006098300228036,0.42639023805217807,0.06332474459075309,0.17326630011953206,R
8,0.8439762146326051,0.4657618292770473,0.8513517366517063,0.6267149367993488,0.9158766403666236,M
9,0.4458663353812305,0.9747120034998875,0.8595982091659995,0.8841013071754138,0.6036923633535789,M
10,0.4729251012803966,0.7920025624408135,0.985203769491257,0.43230805283484725,0.6116594271744376,M
11,0.8886973792840178,0.5503076378788341,0.9509764187605627,0.8150189147893454,0.7922298490259372,M
12,0.1396463911040543,0.21717092850748582,0.2621452791316077,0.1731969063645403,0.29598802316580974,R
13,0.9977407137044874,0.670201055710851,0.7701183207394428,0.5617230505754444,0.43548061324495424,M
14,0.24633520430275058,0.5390442656882216,0.5064194928387681,0.36821164748530244,0.2224674119381877,R
15,0.21112255087265958,0.47260422804479846,0.4850764685705241,0.4303566237785473,0.4293414462092995,R
16,0.6590980290978496,0.5906235317328447,0.8642972062101928,0.6290299616234849,0.9431197470548398,M
17,0.6258243529766595,0.8550492529287896,0.5071977444869142,0.9176744648315136,0.44724446212363517,M
18,0.00970164122323674,0.5370610896763003,0.28376176796936337,0.03420738688761382,0.044194475355645385,R
19,0.5482862724904403,0.7377421087089227,0.564071715325468,0.9270572689242809,0.5115286119224943,M
20,0.697516325328448,0.6342032717902889,0.6567135721372526,0.4165276433570867,0.8034659961719622,M
21,0.4957888364960984,0.3816764429286008,0.5007590465412967,0.077997496355467,0.39082836785738956,R
22,0.3627674572617159,0.32932061791463946,0.19774209151038802,0.38776618704143734,0.35290380089180096,R
23,0.5016739492952008,0.08115143346770906,0.46488669338130867,0.39970710867850784,0.46576831928094076,R
24,0.2280907166548508,0.3647242197827104,0.45168342781991355,0.2792906720290603,0.33556060832613654,R
25,0.5132663587246696,0.5716757776068137,0.2852971420393539,0.2681751015371759,0.45246812486291826,R
26,0.5622215879604119,0.9383324533858799,0.42938420171049785,0.7656675766288608,0.6940702206038015,M
27,0.18326868873857494,0.10491082737879302,0.04951775313229304,0.1582773188852368,0.06174688880024344,R
28,0.541480252943966,0.7396485820502566,0.6108300310063124,0.9919203997797195,0.4925416457155504,M
29,0.5314318830066062,0.47426738088002374,0.2220438403258798,0.521752131762391,0.4860380866161674,R
30,0.22453949145407678,0.456666732074212,0.3951650701407544,0.5326269601034445,0.4749127619510728,R
31,0.42028725045234705,0.13952315410948649,0.4734432122622004,0.1842114679718675,0.2746214359672763,R
32,0.6210550047691478,0.6359025938095364,0.8744691313094983,0.60993199042576,0.9611256835373481,M
33,0.5627888603493975,0.28076012951156254,0.091849787872378,0.453403619463519,0.37175002640027555,R
34,0.47788476341977404,0.8387310629947927,0.757132287995453,0.6742584724744551,0.4419966102955323,M
35,0.20246157311894028,0.04860105232215143,0.5687134873194696,0.4808175853419225,0.4496046737787951,R
36,0.3074781442213829,0.21657398642243486,0.3727862658407934,0.2833985996693693,0.4336513196188581,R
37,0.7254787489086465,0.4453686708613943,0.8162453950425248,0.5020948359682258,0.6098069858076909,M
38,0.45530047801633544,0.6441500213878036,0.8388480354027772,0.47786570110435045,0.9854129386513093,M
39,0.5481959623505053,0.8395332565713236,0.9581141027294897,0.6733199367311908,0.9373866981207013,M
40,0.42155894665510746,0.9346550498129367,0.9395760044968273,0.5688130532683779,0.7136401964336515,M
41,0.5697032051128362,0.6590019529847555,0.45323760819218606,0.972769391388189,0.5357038219790421,M
42,0.405009448385823,0.2708938971325976,0.39766891718227426,0.22588286053426565,0.014228874400830092,R
43,0.8005865304711678,0.8536941231614218,0.9935941649796121,0.8723447495699754,0.7823969169083607,M
44,0.5022279147522715,0.9349334028271821,0.5189490384146848,0.7182651235533906,0.9927754088475946,M
45,0.373677757780924,0.23392137529842122,0.5638554770840853,0.4392673985643311,0.1358202687512904,R
46,0.9255285765099401,0.7571695293900476,0.4832509788756016,0.5637529815673317,0.5314604262992595,M
47,0.3987729764622504,0.22776997631001936,0.03703367168263478,0.07184153269509619,0.39519644086355477,R
48,0.7374936789865533,0.9274967925006965,0.4929332747837494,0.5419210306565179,0.8378476701326838,M
49,0.6741538901834955,0.8998540122752439,0.7925681108621803,0.7547925513295608,0.5007556364317866,M
